Date;sku;name;umb;Cantidad
2017-01-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-01-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-01-24;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-01-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-01-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-01-26;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-01-27;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;384
2017-01-30;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192
2017-01-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-24
2017-01-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-48
2017-01-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-01-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-02-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-02-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-02-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-02-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-02-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-02-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;240
2017-02-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-02-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-02-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-02-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192
2017-02-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-02-13;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192
2017-02-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;144
2017-02-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-02-15;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-02-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-02-20;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-21;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-21;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-02-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-02-24;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-02-27;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-03-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-03-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-03-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;792
2017-03-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-03-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-03-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-03-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-03-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;240
2017-03-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-03-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-03-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;348
2017-03-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-03-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;60
2017-03-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-03-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-03-13;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-03-15;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-03-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;144
2017-03-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;216
2017-03-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-216
2017-03-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-03-23;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-03-24;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-03-29;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-03-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-24
2017-03-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-04-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;360
2017-04-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-04-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-04-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;408
2017-04-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-04-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-07;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-07;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;240
2017-04-07;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-04-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-04-10;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-04-11;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-18;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-18;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-04-19;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-19;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-04-20;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-20;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-04-20;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;504
2017-04-24;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-04-24;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-04-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-24
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-144
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;144
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;144
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-04-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-05-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-05-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-05-03;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-05-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-05-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-05-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;317
2017-05-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;67
2017-05-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-05-11;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-05-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-23;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-23;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-26;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-05-26;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-30;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-05-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-120
2017-05-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-06-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-06-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-06-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-06-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-06-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-06-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192
2017-06-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-06-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-06-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-06-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-06-07;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-06-07;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;46
2017-06-07;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-06-13;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-13;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;600
2017-06-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;280
2017-06-14;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-16;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-06-21;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-06-21;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-21;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-06-21;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-06-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-23;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;19
2017-06-23;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5
2017-06-23;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-06-27;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-06-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-06-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-06-28;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-06-29;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-07-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168
2017-07-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192
2017-07-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-07-04;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-07-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-07-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192
2017-07-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;504
2017-07-07;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-08;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2017-07-17;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2017-07-18;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-18;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2017-07-19;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-19;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-07-24;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2017-07-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2017-07-25;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
