date;sku;txt;umb;qty;
2024-07-02;17746;Traucet acetaminofen 1g/ 100mL PP Foil;UN;12960;
2024-07-03;17747;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9096;
2024-07-04;17748;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1152;
2024-07-05;17749;Traucet acetaminofen 1g/ 100mL PP Foil;UN;912;
2024-07-08;17750;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11206;
2024-07-09;17751;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1344;
2024-07-10;17752;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10512;
2024-07-11;17753;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1248;
2024-07-12;17754;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1003;
2024-07-15;17755;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2856;
2024-07-17;17757;Traucet acetaminofen 1g/ 100mL PP Foil;UN;25464;
2024-07-18;17758;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2908;
2024-07-19;17759;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1487;
2024-07-22;17760;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2400;
2024-07-23;17761;Traucet acetaminofen 1g/ 100mL PP Foil;UN;26518;
2024-07-24;17762;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6456;
2024-07-25;17763;Traucet acetaminofen 1g/ 100mL PP Foil;UN;528;
2024-07-26;17764;Traucet acetaminofen 1g/ 100mL PP Foil;UN;552;
2024-07-29;17765;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3624;
2024-07-30;17766;Traucet acetaminofen 1g/ 100mL PP Foil;UN;744;
2024-07-31;17767;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2376;
2024-08-01;17768;Traucet acetaminofen 1g/ 100mL PP Foil;UN;8256;
2024-08-02;17769;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1536;
2024-08-05;17770;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2640;
2024-08-06;17771;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2904;
2024-08-08;17772;Traucet acetaminofen 1g/ 100mL PP Foil;UN;23;
2024-08-09;17773;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5664;
2024-08-12;17774;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9336;
2024-08-13;17775;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4463;
2024-08-14;17776;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3432;
2024-08-15;17777;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2496;
2024-08-16;17778;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72;
2024-08-20;17779;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2548;
2024-08-21;17780;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2088;
2024-08-22;17781;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3167;
2024-08-23;17782;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2616;
2024-08-26;17783;Traucet acetaminofen 1g/ 100mL PP Foil;UN;8880;
2024-08-27;17784;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48;
2024-08-28;17785;Traucet acetaminofen 1g/ 100mL PP Foil;UN;29304;
2024-08-29;17786;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120;
2024-08-30;17787;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4200;
2024-09-01;17788;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3480;
2024-09-02;17789;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6070;
2024-09-03;17790;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5328;
2024-09-04;17791;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3120;
2024-09-05;17792;Traucet acetaminofen 1g/ 100mL PP Foil;UN;21725;
2024-09-06;17793;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1877;
